יידיש|עברית|גרויס|פארשפארט|שטאפל
רוי:ו' חשוון|ו' בחשוון|1770||1
רוי:23 (נומער)|23 (מספר)|1771||1
"רוי:ה'תשפ""ח"|"ה'תשפ""ח"|1772||1
"רוי:ה'תשצ""ד"|"ה'תשצ""ד"|1774||1
רוי:ח' כסלו|ח' בכסלו|1778||1
"רוי:ה'ל""ב"|"ה'ל""ב"|1779||1
"רוי:ה'פ""ט"|"ה'פ""ט"|1780||1
"רוי:ה'רמ""ה"|"ה'רמ""ה"|1780||1
"רוי:כ""ה אב"|"כ""ה באב"|1780||1
רוי:אינטערנאציאנאלע געמיינשאפט פון פייערלעשער|האגודה הבין-לאומית של לוחמי אש|1780||
"רוי:ה'שי""ד"|"ה'שי""ד"|1785||1
"רוי:ה'רפ""ז"|"ה'רפ""ז"|1786||1
"רוי:ה'רמ""ג"|"ה'רמ""ג"|1787||1
"רוי:ה'שמ""א"|"ה'שמ""א"|1787||1
רוי:קאפטער|ברדס|1787||
"רוי:ד'תתקצ""ו"|"ד'תתקצ""ו"|1788||1
רוי:דא נאנג|דה נאנג|1788||
רוי:שאפונג|יצירה (פירושונים)|1788||
רוי:28 (נומער)|28 (מספר)|1790||1
"רוי:ה'תי""ב"|"ה'תי""ב"|1790||1
רוי:סופרים קארט|בית משפט עליון|1792||
רוי:27 (נומער)|27 (מספר)|1793||1
"רוי:כ""ב תשרי"|"כ""ב בתשרי"|1793||1
"רוי:ה'רס""ז"|"ה'רס""ז"|1794||1
"רוי:ה'רמ""ו"|"ה'רמ""ו"|1795||1
"רוי:ה'רמ""ט"|"ה'רמ""ט"|1795||1
"רוי:ה'ש""ו"|"ה'ש""ו"|1795||1
"רוי:ה'רע""ג"|"ה'רע""ג"|1797||1
רוי:כעמישע ענערגיע|אנרגיה כימית|1797||
רוי:בן הא הא|בן הא הא|1799||
"רוי:ה'שכ""ז"|"ה'שכ""ז"|1800||1
"רוי:ה'תקמ""ד"|"ה'תקמ""ד"|1800||1
"רוי:ה'ר""ע"|"ה'ר""ע"|1801||1
"רוי:ה'רנ""ט"|"ה'רנ""ט"|1801||1
"רוי:ה'שמ""ו"|"ה'שמ""ח"|1801||1
"רוי:ה'שמ""ח"|"ה'שמ""ח"|1801||1
"רוי:ה'ת""א"|"ה'ת""א"|1801||1
"רוי:ה'רצ""ז"|"ה'רצ""ז"|1802||1
רוי:רבי שמעון בר אבא|רבי שמעון בר אבא|1802||
רוי:34 (נומער)|34 (מספר)|1803||1
"רוי:ה'שכ""ד"|"ה'שכ""ד"|1803||1
"רוי:ה'רפ""ג"|"ה'רפ""ג"|1804||1
"רוי:ה'שצ""ח"|"ה'שצ""ח"|1804||1
"רוי:ה'קל""א"|"ה'קל""א"|1805||1
"רוי:ה'שס""ח"|"ה'שס""ח"|1805||1
"רוי:ה'שע""ח"|"ה'שע""ח"|1805||1
"רוי:ה'שפ""א"|"ה'שפ""א"|1805||1
"רוי:ה'תי""ט"|"ה'תי""ט"|1805||1
"רוי:ה'תמ""ו"|"ה'תמ""ו"|1805||1
"רוי:ה'תנ""ב"|"ה'תנ""ב"|1805||1
"רוי:ה'תע""ג"|"ה'תע""ג"|1805||1
"רוי:ה'תע""ו"|"ה'תע""ו"|1805||1
רוי:זשוס פאר זשודיאיזם|יהודים למען יהדות|1805||
רוי:מזרח כינע ים|ים סין המזרחי|1807||
"רוי:ה'תקכ""ו"|"ה'תקכ""ו"|1811||1
רוי:דרום קענטאן סטאנציע|תחנת הרכבת התחתית דרום קנטון|1811||
"רוי:ה'תשצ""א"|"ה'תשצ""א"|1812||1
"רוי:ה'תשצ""ו"|"ה'תשצ""ו"|1812||1
רוי:קאמפאזיטאר|מלחין|1812||
רוי:מגילה|מגילה|1813||
"רוי:ה'תל""ט"|"ה'תל""ט"|1814||1
"רוי:ה'תשצ""ב"|"ה'תשצ""ב"|1814||1
"רוי:ה'תק""ו"|"ה'תק""ו"|1816||1
"רוי:ה'תשפ""ט"|"ה'תשפ""ט"|1816||1
"רוי:ה'תשצ""ט"|"ה'תשצ""ט"|1816||1
"רוי:ה'תל""א"|"ה'תל""א"|1818||1
"רוי:ה'שס""ד"|"ה'שס""ד"|1821||1
"רוי:ה'תמ""ח"|"ה'תמ""ח"|1821||1
"רוי:ה'רצ""ט"|"ה'רצ""ט"|1823||1
"רוי:ה'שמ""ז"|"ה'שמ""ז"|1824||1
"רוי:ה'תמ""ב"|"ה'תמ""ב"|1824||1
רוי:איינגאס|מפרץ|1826||
רוי:בוכטע|מפרץ|1826||
"רוי:ד'תת""ן"|"ד'תת""ן"|1828||1
"רוי:ה'רנ""ה"|"ה'רנ""ה"|1829||1
"רוי:ה'של""ח"|"ה'של""ח"|1829||1
"רוי:כ""ו סיון"|"כ""ו בסיוון"|1829||1
"רוי:ה'שי""א"|"ה'שי""א"|1830||1
"רוי:ד'תת""ק"|"ד'תת""ק"|1831||1
"רוי:ה'רס""ו"|"ה'רס""ו"|1831||1
"רוי:ה'שכ""ג"|"ה'שכ""ג"|1831||1
רוי:טראמפ|טראמפ (פירושונים)|1831||
רוי:ל' חשוון|ל' בחשוון|1833||1
"רוי:ה'תקמ""ו"|"ה'תקמ""ו"|1836||1
"רוי:ה'תשפ""ז"|"ה'תשפ""ז"|1839||1
"רוי:י""א תמוז"|"י""א בתמוז"|1839||1
"רוי:ה'תל""ה"|"ה'תל""ה"|1840||1
"רוי:י""ד כסלו"|"י""ד בכסלו"|1841||1
רוי:צענטראל-אייראפע|מרכז אירופה|1843||
"רוי:כ""א אב"|"כ""א באב"|1846||1
רוי:ברכי יוסף|ברכי יוסף|1846||
רוי:דאנטע אליגערי|דנטה אליגיירי|1848||
רוי:קאנטי דארהאם|דרהאם (מחוז, אנגליה)|1848||
"רוי:ה'ש""ץ"|"ה'ש""ץ"|1853||1
"רוי:ה'תל""ח"|"ה'תל""ח"|1853||1
רוי:31 (נומער)|31 (מספר)|1856||1
"רוי:ה'רמ""ח"|"ה'רמ""ח"|1859||1
"רוי:ה'רצ""ד"|"ה'רצ""ד"|1859||1
"רוי:כ""ה שבט"|"כ""ה בשבט"|1859||1
"רוי:ה'ת""ת"|"ה'ת""ת"|1861||1
