יידיש,עברית,גרויס,פארשפארט,שטאפל
רוי:רבי יעקב אריה טווערסקי,יעקב אריה טברסקי,4250,,
רוי:כתובים,כתובים,4251,,
רוי:בתואל,בתואל,4263,,
רוי:אמהות,ארבע האמהות,4264,,
רוי:בית המדרש מדרשים,בית המדרש (קובצי מדרשים),4266,,
רוי:רבי נחמיה גינזבורג,נחמיה גינזבורג,4269,,
רוי:רבי משולם זוסיא העשל (זשינקאוו),משולם זוסיא השיל,4270,,
רוי:יחזקאל שרגא מערץ,יחזקאל שרגא מערץ,4272,,
רוי:רבי מנחם נחום פרידמאן (באיאן),מנחם נחום פרידמן (בויאן),4275,,
רוי:פרשת במדבר,פרשת במדבר,4283,,
רוי:מזל טוב,מזל טוב,4286,,
רוי:קאברין (חסידות),חסידות קוברין,4286,,
רוי:רבי אלעזר ווייסבלום (ריישא),אלעזר ויסבלום (רישא),4286,,
רוי:אסמיום,אוסמיום,4300,,
רוי:רבי יום טוב צהלון,יום-טוב צהלון,4304,,
רוי:אליהועיני בן הקוף,אליהועיני בן הקוף,4312,,
רוי:אריסטובולוס דער פערטער,אריסטובולוס (בית הורדוס),4312,,
רוי:פאמעלא,פומלה,4312,,
רוי:בארשט,חמיצה,4317,,
רוי:רבי שלום יוסף פרידמאן (שפיקוב),שלום יוסף פרידמן (שפיקוב),4342,,
רוי:רבי מרדכי מנחם מענדל קאליש,מרדכי מנחם מנדל קאליש,4343,,
רוי:רבי שמואל צבי דאנציגער,שמואל צבי דנציגר,4343,,
רוי:מסכת עוקצין,מסכת עוקצים,4350,,
רוי:פרשת ואתחנן,פרשת ואתחנן,4357,,
רוי:רבי יצחק פרידמאן (באיאן),יצחק פרידמן (בויאן),4360,,
רוי:מסכת מקואות,מסכת מקואות,4364,,
רוי:רבי חנניא בן חכינאי,רבי חנינא בן חכינאי,4369,,
רוי:פעטרישקע,פטרוזיליה,4382,,
רוי:רבי יעקב העניך סענקעוויטש,יעקב חנוך סנקביץ',4388,,
רוי:רבי זלמן סענדער כהנא שפירא,זלמן סנדר כהנא שפירא,4389,,
רוי:צאבעל,דלק סיבירי,4403,,
רוי:כסלו,כסלו,4413,,
רוי:פוקס,שועל (סוג),4420,,
רוי:רובידיום,רובידיום,4422,,
רוי:רבי מנחם נחום טווערסקי (מאקאראוו),מנחם נחום טברסקי (מקארוב),4425,,
רוי:חצות,חצות היום (הלכה),4432,,
רוי:ראזשינקע,צימוק,4437,,
רוי:סיביר,סיביר,4443,,
רוי:מסכת חגיגה,מסכת חגיגה,4446,,
רוי:בעזעם,מטאטא,4449,,
רוי:הורדוס פון כאלקיס,הורדוס (מלך כלקיס),4452,,
רוי:מאגלניצא,מוגיילניצה,4462,,
רוי:סעלערי,סלרי,4469,,
רוי:מדרש תהלים,מדרש תהילים,4470,,
רוי:רבי ברכיה טייטלבוים,ברכיה טייטלבוים,4470,,
רוי:רבי יוחנן בן החורנית,רבי יוחנן בן החורני,4470,,
רוי:רבי מנחם נחום טווערסקי פון בריסק,מנחם נחום טברסקי (טריסק),4479,,
רוי:רעניום,רניום,4482,,
רוי:שת,שת,4482,,
רוי:מתושלח,מתושלח,4483,,
רוי:רבי יונתן שטייף,יונתן שטייף,4495,,
רוי:רבי ישראל אלימלך אונגאר,ישראל אלימלך אונגר,4496,,
רוי:אדל די טאכטער פון בעל שם טוב,אדל בת הבעל שם טוב,4497,,
רוי:רבי יעקב יחזקיהו גרינוואלד (ויגד יעקב),רבי יעקב יחזקיה גרינוולד (ויגד יעקב),4499,,
רוי:וואפיטי,אייל קנדי,4500,,
רוי:אייר,אייר,4504,,
רוי:רבי ישכר בעריש אייכנשטיין,רבי יששכר בעריש אייכנשטיין (השני),4512,,
רוי:לוגאנא,לוגאנו,4523,,
רוי:סטינגרעי,טריגוניים,4524,,
רוי:אחזיהו (מלך יהודה),אחזיה (מלך יהודה),4525,,
רוי:גרויסע אזערעס,הימות הגדולות,4525,,
רוי:נאגל (בויען),מסמר,4526,,
רוי:מיטוואך,יום רביעי,4529,,
רוי:URL,URL,4539,,
רוי:רבי יחיאל מיכל (אווערבוך),יחיאל מיכל אוירבך,4554,,
רוי:דריז,בלוטה,4561,,
רוי:נערוו,עצב,4562,,
רוי:מ,מ,4563,,
רוי:סאפיע גארטן,גן סופיה,4567,,
רוי:רבי מרדכי זוסיא טווערסקי,מרדכי זוסיא טברסקי,4571,,
רוי:סאוט פאלסבורג,סאות' פולסבורג,4573,,
רוי:רבי דוב בעריש לאנדא,דוב בעריש מביאלה,4574,,
רוי:רבי שלום יוסף פרידמאן,שלום יוסף פרידמן,4575,,
רוי:רבי אלעזר ברבי צדוק,רבי אלעזר ברבי צדוק,4576,,
רוי:גבאי,גבאי,4578,,
רוי:באסטיל,בסטיליה,4587,,
רוי:טרויבן-זאפט,מיץ ענבים,4587,,
רוי:דניאל (בן דוד),כלאב,4596,,
רוי:רבי אלעזר בן פרטא,רבי אלעזר בן פרטא,4596,,
רוי:מסכת שביעית,מסכת שביעית,4597,,
רוי:רבי משה אייכנשטיין,רבי משה אייכנשטיין,4597,,
רוי:גראגער,רעשן,4600,,
רוי:רב מרי בר רחל,רב מרי בר רחל,4600,,
רוי:פרשת וזאת הברכה,פרשת וזאת הברכה,4601,,
רוי:רבי דוסא בן הרכינס,רבי דוסא בן הרכינס,4604,,
רוי:עלות השחר,עלות השחר,4609,,
רוי:שבת שירה,שבת שירה,4611,,
רוי:ליקער,ליקר,4614,,
רוי:רבי מרדכי טווערסקי (רחמיסטריווקא),מרדכי טברסקי (רחמסטריווקה),4627,,
רוי:ראפשיץ,רופשיץ,4633,,
רוי:רבי יחיאל דאנציגער,יחיאל דנציגר,4637,,
רוי:רבי דוד משה פרידמאן,דוד משה פרידמן,4661,,
רוי:רבי פנחס טווערסקי,פנחס טברסקי,4661,,
רוי:רבי יעקב לייזער,רבי יעקב לייזר,4669,,
רוי:רבי אלעזר שפירא,אלעזר שפירא,4673,,
רוי:רבי שמואל אבא פון זיכלין,שמואל אבא מזיכלין,4674,,
רוי:צונג,לשון (איבר),4676,,
רוי:קיניגל,ארנבים,4678,,
רוי:רבי שלמה האלבערשטאם (א),שלמה הלברשטאם (הראשון),4683,,
רוי:רבי אליעזר הורוויץ,אליעזר הורוביץ,4687,,
רוי:מילוואקי,מילווקי,4690,,
רוי:דונער,רעם,4692,,
רוי:כראמיום,כרומיום,4697,,
רוי:יהואחז,יהואחז (מלך יהודה),4698,,
רוי:רבי יודא הערש בראנדוויין,יהודה צבי ברנדויין (הראשון),4698,,
רוי:מסכת חולין,מסכת חולין,4704,,
רוי:רבי אלעזר המודעי,רבי אלעזר המודעי,4709,,
רוי:פנואל,פנואל,4714,,
רוי:רבי משה'לע פשעווארסקער,רבי משה מפשעווארסק,4716,,
רוי:רבי ישכר בער פון ראדאשיץ,ישכר דב בארון,4740,,
רוי:בלאזשאוו,בלאז'ובה,4753,,
רוי:בית מדרש,בית מדרש,4754,,
רוי:מגיד שיעור,מגיד שיעור,4755,,
רוי:מערת שם ועבר,מערת שם ועבר,4760,,
רוי:רבי יעקב יוסף פון אוסטראה,יעקב יוסף מאוסטראה,4764,,
רוי:רבי אלעזר ניסן טייטלבוים,אלעזר ניסן טייטלבוים,4765,,
רוי:רבי יעקב דוד קאליש,יעקב דוד קאליש,4765,,
רוי:שמעון בן זומא,בן זומא,4766,,
רוי:בית הכנסת אברהם אבינו,בית הכנסת אברהם אבינו,4776,,
רוי:רבי רפאל ישעיהו אזולאי,רפאל ישעיה אזולאי,4782,,
רוי:פייל,חץ,4798,,
